orig_string,country,city
"Institut für Kunstgeschichte, Ludwig-Maximilians-Universität München, Deutschland",Deutschland,
Institut für Literaturwissenschaft / Digital Humanities der Universität Stuttgart,,
Institut für maschinelle Sprachverarbeitung der Universität Stuttgart,,
"Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg",,Salzburg
"IT-Gruppe Geisteswissenschaften, Ludwig-Maximilians-Universität München, Deutschland",Deutschland,
"IZdigital, Friedrich-Alexander-Universität Erlangen-Nürnberg",,
Jena University Language & Information Engineering Lab (JULIE Lab),,Jena
"JGU Mainz, Deutschland",Deutschland,Mainz
"JMU Würzburg, Deutschland",Deutschland,
"Julius-Maximilians-Universität Würzburg, Deutschland",Deutschland,
Karlsruher Institut für Technologie,,
"KNAW Huygens ING, Amsterdam",,Amsterdam
Universität Utrecht,,
"Know-Center Graz, Österreich",Österreich,Graz
KU Eichstätt - Ingolstadt,,
"Lehrstuhl Medieninformatik, Universität Regensburg, Deutschland",Deutschland,
"Leibniz-Institut für Deutsche Sprache, Deutschland",Deutschland,
"Leibniz-Institut für Deutsche Sprache, Mannheim",,Mannheim
"Leibniz-Institut für Europäische Geschichte (IEG), Deutschland",Deutschland,
"Max Weber Stiftung (MWS), Deutschland",Deutschland,
"Leibniz-Institut für Europäische Geschichte, Mainz",,Mainz
"Leibniz-Institut für Geschichte und Kultur des östlichen Europa (GWZO), Deutschland",Deutschland,
Leipzig,,Leipzig
Leopoldina – Nationale Akademie der Wissenschaften,,
"Leopoldina, Halle (Saale)",,Halle
Leuphana Universität Lüneburg,,
"LMU München, Deutschland",Deutschland,
"LMU, München",,
Ludwig-Maximilians Universität München,,
"Ludwig-Maximilians-Universität München, Deutschland",Deutschland,
"Mainzer Zentrum für Digitalität in den Geistes- und Kulturwissenschaften, Deutschland",Deutschland,Mainz
"Martin-Luther-Universität Halle-Wittenberg, Deutschland",Deutschland,Halle
Martin-Luther-Universität Halle-Wittenberg,,Halle
"Max Weber Stiftung (MWS), Deutschland",Deutschland,
"Max Weber Stiftung, Bonn",,Bonn
"Max Weber Stiftung, Deutschland",Deutschland,
Max Weber Stiftung,,
"MITH, University of Maryland, College Park, MD, USA",,
Munich Research,,
"Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities",Österreich,
dataforhistory.org,,
"Österreichische Akademie der Wissenschaften, Österreich",Österreich,
CLARIN ERIC,,
Österreichische Akademie der Wissenschaften,Österreich,
Österreichische Nationalbibliothek,Österreich,
"Otto-Friedrich-Universität Bamberg, Deutschland",Deutschland,
"Pedagogical University of Kraków, Polen",,Kraków
"Philipps-Universität Marburg, Deutschland",Deutschland,
"Philipps-Universität Marburg, Marburg Center for Digital Culture & Infrastructure (MCDCI), Deutschland",Deutschland,
Ruhr-Universität Bochum,,Bochum
Sächsische Akademie der Wissenschaften zu Leipzig,,Leipzig
"Staats- und Universitätsbibliothek Dresden, Deutschland",Deutschland,
Staatsbibliothek Berlin,,Berlin
"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Deutschland",Deutschland,Berlin
Stadtarchiv Graz,,Graz
Steinheim-Institut,,
"Technische Hochschule Georg Simon Ohm, Kesslerplatz 12, 90489 Nürnberg, Deutschland",Deutschland,
"Technische Universität Graz, Österreich",Österreich,Graz
Telota/Berlin-Brandenburgische Akademie der Wissenschaften,,Berlin
Textloop,,
"The University of Edinburgh, Law School, Vereinigtes Königreich",Vereinigtes Königreich,Edinburgh
"TU Berlin, Deutschland",Deutschland,Berlin
"Bibliotheca Hertziana, Rom, Italien",Italien,Rom
TU Berlin,,Berlin
"TU Darmstadt, Deutschland",Deutschland,
"TU Dresden, Deutschland",Deutschland,
"UCLAB, Fachhochschule Potsdam, Deutschland",Deutschland,
ULB Darmstadt,,
FH Potsdam,,
"Uni Passau, Deutschland",Deutschland,Passau
"Univerität Bielefeld - SFB 1288 Praktiken des Vergleichens, Deutschland",Deutschland,
"Universität Basel, Schweiz",Schweiz,Basel
"Universität Bern, Schweiz",Schweiz,Bern
"Universität Bielefeld, Deutschland",Deutschland,
"Universität des Saarlandes, Lehrstuhl für Neuere deutsche Literaturwissenschaft | Medienwissenschaft, Saarbrücken, Deutschland",Deutschland,Saarbrücken
