orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Institut für Informationswissenschaft & Sprachtechnologie, Universität Hildesheim	Deutschland	Hildesheim	Q3185	Universität Hildesheim	Universität	Q319333	http://www.wikidata.org/entity/Q319333	Stiftungsuniversität Hildesheim		02f9det96	https://ror.org/02f9det96		Institut für Informationswissenschaft und Sprachtechnologie							
Institut für Ost- und Südosteuropaforschung, Regensburg	Deutschland	Regensburg	Q2978	Institut für Ost- und Südosteuropaforschung Regensburg		Q1664940	http://www.wikidata.org/entity/Q1664940	Leibniz-Institut für Ost- und Südosteuropaforschung		039s64n79	https://ror.org/039s64n79									
Institut für Philosophie, TU Darmstadt	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
Institut für Raumdarstellung				Institut für Raumdarstellung																
Institut für Sprach- und Literaturwissenschaft, TU Darmstadt	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
Institutio Nationale de Fisica Nucleare; IT	Italien			Institutio Nationale de Fisica Nucleare; IT																
Jena University Language & Information Engineering (JULIE) Lab, Friedrich-Schiller-Universität Jena, Deutschland	Deutschland	Jena	Q3150	Friedrich-Schiller-Universität Jena	Universität	Q154561	http://www.wikidata.org/entity/Q154561	Friedrich-Schiller-Universität Jena	Q21880	05qpz1x62	https://ror.org/05qpz1x62		Language & Information Engineering Lab							
Johannes Gutenberg Universität Mainz, Deutschland	Deutschland	Mainz	Q1720	Johannes Gutenberg-Universität Mainz	Universität	Q161982	http://www.wikidata.org/entity/Q161982	Johannes Gutenberg-Universität Mainz	Q80405	023b0x485	https://ror.org/023b0x485									
Karl-Franzens Universität Graz, Österreich	Österreich	Graz	Q13298	Karl-Franzens-Universität Graz	Universität	Q622683	http://www.wikidata.org/entity/Q622683	Universität Graz	Q175366	01faaaf77	https://ror.org/01faaaf77									
Katholieke Universiteit Leuven, Literary Studies Research Unit, Belgien	Belgien	Leuven	Q118958	Katholieke Universiteit Leuven	Universität	Q833670	http://www.wikidata.org/entity/Q833670	Katholieke Universiteit Leuven		05f950310	https://ror.org/05f950310		Literary Studies Research Unit							
LAB1100, Niederlande	Niederlande			LAB1100		Q106729027	http://www.wikidata.org/entity/Q106729027	LAB1100												
Lehrstuhl für Neuere Geschichte, Geschichtswissenschaften, Heinrich-Heine-Universität Düsseldorf	Deutschland	Düsseldorf	Q1718	Heinrich-Heine-Universität Düsseldorf	Universität	Q317032	http://www.wikidata.org/entity/Q317032	Heinrich-Heine-Universität Düsseldorf		024z2rq82	https://ror.org/024z2rq82		Geschichtswissenschaften							
