orig_string,country,city,parent_institution_normalized,institutional_subunit_normalized
"Humboldt-Universität zu Berlin, Institut für Bibliotheks- und Informationswissenschaft",Deutschland,Berlin,Humboldt-Universität zu Berlin,Institut für Bibliotheks- und Informationswissenschaft
Humboldt-Universität zu Berlin,Deutschland,Berlin,Humboldt-Universität zu Berlin,
Institut für Architektur von Anwendungssystemen (IAAS) - Universität Stuttgart,Deutschland,Stuttgart,Universität Stuttgart,Institut für Architektur von Anwendungssystemen
"Institut für Computerlinguistik, Universität Heidelberg, Germany",Deutschland,Heidelberg,"Institut für Computerlinguistik, Universität Heidelberg, Germany",
"Institut für Deutsche Literatur und ihre Didaktik, Universität Frankfurt",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,Institut für Deutsche Literatur und ihre Didaktik
"Institut für Deutsche Philologie, JMU Würzburg",Deutschland,Würzburg,"Institut für Deutsche Philologie, JMU Würzburg",
"Institut für Deutsche Philologie, Lehrstuhl für Computerphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg",Deutschland,Würzburg,"Institut für Deutsche Philologie, Lehrstuhl für Computerphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg",
"Institut für Deutsche Philologie, Lehrstuhl für Comuterphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg",Deutschland,Würzburg,"Institut für Deutsche Philologie, Lehrstuhl für Comuterphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg",
Institut für Informatik und digitale Bildung - Pädagogischen Hochschule Karlsruhe,Deutschland,Karlsruhe,Institut für Informatik und digitale Bildung - Pädagogischen Hochschule Karlsruhe,
Julius-Maximilians-Universität Würzburg,Deutschland,Würzburg,Julius-Maximilians-Universität Würzburg,
"Karlsruher Institut für Technologie, Germany",Deutschland,Karlsruhe,"Karlsruher Institut für Technologie, Germany",
Københavns Universitet,Dänemark,Kopenhagen,Københavns Universitet,
Technische Universität Berlin,Deutschland,Berlin,Technische Universität Berlin,
Le Mans Université,Frankreich,Le Mans,Le Mans Université,
"Lehrstuhl für Medieninformatik, Universität Regensburg, Germany",Deutschland,Regensburg,"Lehrstuhl für Medieninformatik, Universität Regensburg, Germany",
"Lehrstuhl für Medieninformatik, Universität Regensburg",Deutschland,Regensburg,"Lehrstuhl für Medieninformatik, Universität Regensburg",
Leibniz-Institut für Deutsche Sprache,Deutschland,,Leibniz-Institut für Deutsche Sprache,
Leibniz-Institut für Europäische Geschichte,,,Leibniz-Institut für Europäische Geschichte,
"Leipzig Universität, Deutschland",Deutschland,Leipzig,Universität Leipzig,
Literaturarchiv und Literaturmuseum Österreichische Nationalbibliothek,Österreich,Wien,Österreichische Nationalbibliothek,
"LMU München, Germany",Deutschland,München,Ludwig-Maximilians Universität München,
"Ludwig Forum für Internationale Kunst, Germany",Deutschland,,"Ludwig Forum für Internationale Kunst, Germany",
"Ludwig-Maximilians-Universität München, Germany",Deutschland,München,Ludwig-Maximilians Universität München,
"Luxembourg Centre for Contemporary and Digital History (C2DH), Luxembourg",Luxemburg,,"Luxembourg Centre for Contemporary and Digital History (C2DH), Luxembourg",
National Research University Higher School of Economics Moscow,Russland,Moskau,National Research University Higher School of Economics,
