orig_string,country,city,parent_institution_normalized,institutional_subunit_normalized
"Universität Würzburg, Deutschland",Deutschland,Würzburg,"Universität Würzburg, Deutschland",
Universität Würzburg,Deutschland,Würzburg,Universität Würzburg,
"Universität zu Köln, Cologne Center for eHumanities (CCeH)",Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
"Universität zu Köln, Data Center for the Humanities (DCH)",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Universität zu Köln, Data Center for the Humanities (DCH)",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Universität zu Köln, Institut für Digital Humanities (IDH)",Deutschland,Köln,Universität zu Köln,Institut für Digital Humanities
"Universität zu Köln, Data Center for the Humanities (DCH); Universität zu Köln, Institut für Linguistik (IfL)",Deutschland,Köln,Universität zu Köln,
"Universität zu Köln, Institut für Digital Humanities (IDH)",Deutschland,Köln,Universität zu Köln,Institut für Digital Humanities
Cologne Center for eHumanities,Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
"Universitätsbibliothek Heidelberg, Deutschland",Deutschland,Heidelberg,"Universitätsbibliothek Heidelberg, Deutschland",
Université de Tours,Frankreich,,Université de Tours,
"Université Le Mans, Frankreich",Frankreich,Le Mans,"Université Le Mans, Frankreich",
"University of Hamburg, Deutschland",Deutschland,Hamburg,"University of Hamburg, Deutschland",
"Westfälische Wilhelms Universität Münster, Deutschland",Deutschland,Münster,"Westfälische Wilhelms Universität Münster, Deutschland",
Wittgenstein Archiv Universität Bergen/Norwegen,Norwegen,Bergen,Wittgenstein Archiv Universität Bergen/Norwegen,
WU Wien,Österreich,Wien,Wirtschaftsuniversität Wien,
"Zentrum für Informationsmodellierung, Universität Graz, Österreich",Österreich,Graz,"Zentrum für Informationsmodellierung, Universität Graz, Österreich",
"Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Zentrum für Philologie und Digitalität „Kallimachos“, Universität Würzburg, Deutschland",Deutschland,Würzburg,"Zentrum für Philologie und Digitalität „Kallimachos“, Universität Würzburg, Deutschland",
"Lehrstuhl für Künstliche Intelligenz und Angewandte Informatik, Universität Würzburg, Deutschland",Deutschland,Würzburg,"Lehrstuhl für Künstliche Intelligenz und Angewandte Informatik, Universität Würzburg, Deutschland",
Akademie der Wissenschaften und der Literatur | Mainz,Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"Akademie der Wissenschaften und der Literatur, Mainz",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"Akademie der Wissenschaften und Literatur | Mainz, Deutschland",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"BBAW, Deutschland",Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
"Beethoven-Haus Bonn, Deutschland",Deutschland,Bonn,"Beethoven-Haus Bonn, Deutschland",
"Berlin, Deutschland",Deutschland,Berlin,"Berlin, Deutschland",
"Bibliotheca Hertziana, Roma, Italien",Italien,Roma,"Bibliotheca Hertziana, Roma, Italien",
"FAU Erlangen-Nürnberg, Deutschland",Deutschland,,"FAU Erlangen-Nürnberg, Deutschland",
"TU Berlin, Berlin, Deutschland",Deutschland,Berlin,"TU Berlin, Berlin, Deutschland",
Center für Digitale Systeme,,,Center für Digitale Systeme,
"Centrum für Religionswissenschaftliche Studien, Ruhr-Universität Bochum, Deutschland",Deutschland,Bochum,"Centrum für Religionswissenschaftliche Studien, Ruhr-Universität Bochum, Deutschland",
"Chair of Applied Computer Science and Artificial Intelligence, Universität Würzburg, Deutschland",Deutschland,Würzburg,"Chair of Applied Computer Science and Artificial Intelligence, Universität Würzburg, Deutschland",
"Chair of Literary Computing, Universität Würzburg, Deutschland",Deutschland,Würzburg,"Chair of Literary Computing, Universität Würzburg, Deutschland",
"Citlab, Universität Rostock",Deutschland,Rostock,"Citlab, Universität Rostock",
"Cologne Center for eHumanities (CCeH), Universität zu Köln, Deutschland",Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
Theaterwissenschaftliche Sammlung der Universität zu Köln,Deutschland,Köln,Universität zu Köln,Theaterwissenschaftliche Sammlung
"Computer Vision Lab, TU Wien",Österreich,Wien,Technische Universität Wien,
"Data Center for the Humanities (DCH), Universität zu Köln",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Data Center for the Humanities, Universität zu Köln, Deutschland",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Data Center for the Humanities, Universität zu Köln",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Deutsche Nationalbibliothek, Frankfurt a.M.",Deutschland,Frankfurt am Main,Deutsche Nationalbibliothek,
"Deutsches Historisches Institut Paris, Frankreich",Frankreich,Paris,"Deutsches Historisches Institut Paris, Frankreich",
"Deutsches Museum, Deutschland",Deutschland,,"Deutsches Museum, Deutschland",
"Digital Humanities Lab, EPF Lausanne",Schweiz,Lausanne,"Digital Humanities Lab, EPF Lausanne",
"Donau Universität Krems, Österreich",Österreich,Krems,"Donau Universität Krems, Österreich",
"Electronic Textual Cultures Lab, University of Victoria, Canada",Kanada,Victoria,"Electronic Textual Cultures Lab, University of Victoria, Canada",
Forschungsverbund Marbach Weimar Wolfenbüttel,Deutschland,,Forschungsverbund Marbach Weimar Wolfenbüttel,
Herzog August Bibliothek Wolfenbüttel,Deutschland,Wolfenbüttel,Herzog August Bibliothek Wolfenbüttel,
Herzog August Bibliothek Wolfenbüttel,Deutschland,Wolfenbüttel,Herzog August Bibliothek Wolfenbüttel,
Forschungsverbund MWW | Herzog August Bibliothek Wolfenbüttel,Deutschland,,Forschungsverbund MWW | Herzog August Bibliothek Wolfenbüttel,
"Forschungsverbund MWW | Klassik Stiftung Weimar, Deutschland",Deutschland,,"Forschungsverbund MWW | Klassik Stiftung Weimar, Deutschland",
"Forschungsverbund MWW, Deutschland",Deutschland,,"Forschungsverbund MWW, Deutschland",
"Freier Journalist und Informatiker, Berlin",Deutschland,Berlin,"Freier Journalist und Informatiker, Berlin",
Freies Deutsches Hochstift,Deutschland,,Freies Deutsches Hochstift,
Frankfurter Goethe-Museum,Deutschland,Frankfurt am Main,Frankfurter Goethe-Museum,
"Friedrich-Alexander-Universität Erlangen-Nürnberg, Deutschland",Deutschland,,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Deutschland",
"GCDH, Universität Göttingen, Deutschland",Deutschland,Göttingen,Georg-August Universität Göttingen,Göttingen Centre for Digital Humanities
"Georg-August-Universität Göttingen, Deutschland",Deutschland,Göttingen,Georg-August Universität Göttingen,
"Germanisches Nationalmuseum Nürnberg, Deutschland",Deutschland,Nürnberg,"Germanisches Nationalmuseum Nürnberg, Deutschland",
Germanisches Nationalmuseum,Deutschland,,Germanisches Nationalmuseum,
"Goethe Universität Frankfurt am Main, Deutschland",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Goethe Universität Frankfurt am Main, Kunstgeschichtliches Institut, Deutschland, Deutsches Forum für Kunstgeschichte Paris, Frankreich",Deutschland,Paris,"Goethe Universität Frankfurt am Main, Kunstgeschichtliches Institut, Deutschland, Deutsches Forum für Kunstgeschichte Paris, Frankreich",
"Goethe Universität Frankfurt am Main, Kunstgeschichtliches Institut, Deutschland",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,Kunstgeschichtliches Institut
"Deutsches Forum für Kunstgeschichte Paris, Frankreich",Frankreich,Paris,"Deutsches Forum für Kunstgeschichte Paris, Frankreich",
"Goethe Universität Frankfurt, Deutschland",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Goethe University of Frankfurt, Deutschland",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Goethe-Universität Frankfurt, Deutschland",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Hamburger Zentrum für Sprachkorpora, Universität Hamburg, Deutschland",Deutschland,Hamburg,"Hamburger Zentrum für Sprachkorpora, Universität Hamburg, Deutschland",
"Hochschule Mainz - University of Applied Sciences, Deutschland",Deutschland,Mainz,Hochschule Mainz,
"Hochschule Mainz – University of Applied Sciences, Deutschland",Deutschland,Mainz,Hochschule Mainz,
Hochschule Mainz – University of Applied Sciences,Deutschland,Mainz,Hochschule Mainz,
"Institut für Deutsche Sprache, Deutschland",Deutschland,,"Institut für Deutsche Sprache, Deutschland",
"Institut für Deutsche Sprache, Mannheim, Deutschland",Deutschland,Mannheim,"Institut für Deutsche Sprache, Mannheim, Deutschland",
Institut für Dokumentologie und Editorik (IDE),,,Institut für Dokumentologie und Editorik (IDE),
Berlin-Brandenburgische Akademie der Wissenschaften,Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
Karl-Franzens-Universität Graz,Österreich,Graz,Karl-Franzens-Universität Graz,
Österreichische Nationalbibliothek,Österreich,Wien,Österreichische Nationalbibliothek,
"Institut für Geoinformatik, WWU Münster, Deutschland",Deutschland,Münster,"Institut für Geoinformatik, WWU Münster, Deutschland",
"Institut für Linguistik, Universität zu Köln",Deutschland,Köln,Universität zu Köln,Institut für Linguistik
"Institut für maschinelle Sprachverarbeitung, Universität Stuttgart, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,Institut für Maschinelle Sprachverarbeitung
Johann Wolfgang Goethe-Universität Frankfurt am Main,Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Johannes Gutenberg-Universität Mainz, Deutschland",Deutschland,Mainz,Johannes Gutenberg-Universität Mainz,
Johannes Gutenberg-Universität Mainz,Deutschland,Mainz,Johannes Gutenberg-Universität Mainz,
"Johannes Gutenberg-Universität, Deutschland",Deutschland,,"Johannes Gutenberg-Universität, Deutschland",
Universitätsarchiv Mainz,Deutschland,Mainz,Johannes Gutenberg-Universität Mainz,
"Julius-Maximilians-Universität, Deutschland",Deutschland,,"Julius-Maximilians-Universität, Deutschland",
Karl-Franzens-Universität Graz,Österreich,Graz,Karl-Franzens-Universität Graz,
"Karlsruher Institut für Technologie, Deutschland",Deutschland,Karlsruhe,"Karlsruher Institut für Technologie, Deutschland",
"Landesarchiv Baden-Württemberg, Deutschland",Deutschland,,"Landesarchiv Baden-Württemberg, Deutschland",
"Language Technology Group, Universität Hamburg, Deutschland",Deutschland,Hamburg,"Language Technology Group, Universität Hamburg, Deutschland",
"Le Mans Université, Frankreich",Frankreich,,"Le Mans Université, Frankreich",
"Max-Planck-Institut für europäische Rechtsgeschichte, Deutschland",Deutschland,,"Max-Planck-Institut für europäische Rechtsgeschichte, Deutschland",
"MLU Halle/Wittenberg, Deutschland",Deutschland,Halle,"MLU Halle/Wittenberg, Deutschland",
"Nasjonalbiblioteket, Oslo, Norwegen",Norwegen,Oslo,"Nasjonalbiblioteket, Oslo, Norwegen",
"Niedersächsische Staats- und Universitätsbibliothek Göttingen, Deutschland",Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
Niedersächsische Staats- und Universitätsbibliothek Göttingen,Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
"Niedersächsische Staats- und Universitätsbibliothek, Göttingen, Deutschland",Deutschland,Göttingen,Niedersächsische Staats- und Universitätsbibliothek Göttingen,
"ÖAW, Wien",Österreich,Wien,Österreichische Akademie der Wissenschaften,
"Österreichische Akademie der Wissenschaften, Wien, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,
"Rheinische Friedrich-Wilhelms-Universität, Abteilung für Altamerikanistik, Deutschland",Deutschland,,"Rheinische Friedrich-Wilhelms-Universität, Abteilung für Altamerikanistik, Deutschland",
"La Trobe University, Department of Archaeology and History, Australien",Australien,,"La Trobe University, Department of Archaeology and History, Australien",
Römisch-Germanische Kommission des Deutschen Archäologischen Instituts,Deutschland,,Römisch-Germanische Kommission des Deutschen Archäologischen Instituts,
"Ruprecht-Karls-Universität, Heidelberg",Deutschland,Heidelberg,"Ruprecht-Karls-Universität, Heidelberg",
"RWTH Aachen, Deutschland",Deutschland,Aachen,"RWTH Aachen, Deutschland",
"Sächsische Akademie der Wissenschaften zu Leipzig, Deutschland",Deutschland,Leipzig,Sächsische Akademie der Wissenschaften zu Leipzig,
"Universität Leipzig, Deutschland",Deutschland,Leipzig,Universität Leipzig,
School of Information Sciences at the University of Illinois at Urbana Champaign,USA,,School of Information Sciences at the University of Illinois at Urbana Champaign,
"Sprache und Raum Laboratorium, Universität Zürich, Schweiz",Schweiz,Zürich,"Sprache und Raum Laboratorium, Universität Zürich, Schweiz",
"Staatsarchiv des Kantons Zürich, Schweiz",Schweiz,Zürich,"Staatsarchiv des Kantons Zürich, Schweiz",
Steinbuch Centre for Computing / KIT,,,Steinbuch Centre for Computing / KIT,
"Steinheim-Institut, Deutschland",Deutschland,,"Steinheim-Institut, Deutschland",
"Stiftung Preußischer Kulturbesitz, Berlin",Deutschland,Berlin,"Stiftung Preußischer Kulturbesitz, Berlin",
"Stiftung Preußischer Kulturbesitz, Deutschland",Deutschland,,"Stiftung Preußischer Kulturbesitz, Deutschland",
Stiftung Preußischer Kulturbesitz,Deutschland,,Stiftung Preußischer Kulturbesitz,
"Studienzentrum der Leopoldina / Nationale Akademie der Wissenschaften, Deutschland",Deutschland,,"Studienzentrum der Leopoldina / Nationale Akademie der Wissenschaften, Deutschland",
"Technische Universität Dresden, Deutschland",Deutschland,Dresden,"Technische Universität Dresden, Deutschland",
"Technische Universität Hamburg, Deutschland",Deutschland,Hamburg,"Technische Universität Hamburg, Deutschland",
"Theodor-Fontane-Archiv, Universität Potsdam, Deutschland",Deutschland,Potsdam,Universität Potsdam,Theodor-Fontane-Archiv
"ULB Darmstadt, Deutschland",Deutschland,Darmstadt,"ULB Darmstadt, Deutschland",
unabhängiger Wissenschaftler,,,unabhängiger Wissenschaftler,
"Università di Bologna, Italien",Italien,Bologna,"Università di Bologna, Italien",
"Universität Bonn, Abteilung für Altamerikanistik, Deutschland",Deutschland,Bonn,"Universität Bonn, Abteilung für Altamerikanistik, Deutschland",
"Universität des Saarlandes, Saarbrücken, Deutschland",Deutschland,Saarbrücken,"Universität des Saarlandes, Saarbrücken, Deutschland",
Universität Erlangen,Deutschland,,Universität Erlangen,
"Universität Göttingen, Deutschland",Deutschland,Göttingen,Georg-August Universität Göttingen,
Universität Graz,Österreich,Graz,Universität Graz,
"Universität Heidelberg, Interdisziplinäres Zentrum für wissenschaftliches Rechnen, Heidelberg",Deutschland,Heidelberg,"Universität Heidelberg, Interdisziplinäres Zentrum für wissenschaftliches Rechnen, Heidelberg",
Universität Heidelberg,Deutschland,Heidelberg,Universität Heidelberg,
"Universität Hildesheim, Deutschland",Deutschland,Hildesheim,"Universität Hildesheim, Deutschland",
Universität Leipzig,Deutschland,Leipzig,Universität Leipzig,
Universität Luxemburg,Luxemburg,Luxemburg,Universität Luxemburg,
"Universität Osnabrück, Deutschland",Deutschland,Osnabrück,"Universität Osnabrück, Deutschland",
"Universität Potsdam, Deutschland",Deutschland,Potsdam,Universität Potsdam,
"Universität St. Gallen, Schweiz",Schweiz,Sankt Gallen,"Universität St. Gallen, Schweiz",
Universität Wien,Österreich,Wien,Universität Wien,
"Universität Zürich, Schweiz",Schweiz,Zürich,"Universität Zürich, Schweiz",
"Universitätsbibliothek Leipzig, Deutschland",Deutschland,Leipzig,Universität Leipzig,
University of Appliend Sciences Potsdam,Deutschland,Potsdam,Fachhochschule Potsdam,
"Urban Complexity Lab, Fachhochschule Potsdam, Deutschland",Deutschland,Potsdam,Fachhochschule Potsdam,
"Akademie der Wissenschaften Mainz - Digitale Akademie, Deutschland",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"ACDH, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"ACDH-ÖAW, Österreichische Akademie der Wissenschaften, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
Akademie der Wissenschaften und der Literatur Mainz,Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
Johann Wolfgang Goethe-Universität Frankfurt am Main,Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Akademie der Wissenschaften zu Göttingen, Deutschland",Deutschland,Göttingen,Akademie der Wissenschaften zu Göttingen,
"and Service Center for the Humanities DaSCH, Universität Basel (DHLab) und Schweizerische Akademie der Geistes- und Sozialwissenschaften, Schweiz",Schweiz,Basel,"and Service Center for the Humanities DaSCH, Universität Basel (DHLab) und Schweizerische Akademie der Geistes- und Sozialwissenschaften, Schweiz",
"Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Bach-Archiv Leipzig, Deutschland",Deutschland,Leipzig,"Bach-Archiv Leipzig, Deutschland",
"Berlin-Brandenburgische Akademie der Wisesnschaften, Deutschland",Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
Beste Worte GmbH,,,Beste Worte GmbH,
"Birkbeck, University of Lonfon",Vereinigtes Königreich,London,"Birkbeck, University of Lonfon",
"bitGilde IT Solutions UG, Deutschland",Deutschland,,"bitGilde IT Solutions UG, Deutschland",
"Black Mesa Technologies LLC, New Mexico",USA,,"Black Mesa Technologies LLC, New Mexico",
"Brandenburgisches Zentrum für Medienwissenschaften, Potsdam",Deutschland,Potsdam,Brandenburgisches Zentrum für Medienwissenschaften,
"Buchbinderei Mohr, Trier, Deutschland",Deutschland,Trier,"Buchbinderei Mohr, Trier, Deutschland",
"CCeH, Universität Köln, Deutschland",Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
"Centar za digitalne humanističke nauke, Serbien",Serbien,,"Centar za digitalne humanističke nauke, Serbien",
"Center for Digital Humanities, Universität Trier, Deutschland",Deutschland,Trier,"Center for Digital Humanities, Universität Trier, Deutschland",
Center for Informatics Research and Technology (CIRT),,,Center for Informatics Research and Technology (CIRT),
Universität Trier,Deutschland,Trier,Universität Trier,
"Consiglio Nazionale delle Ricerche, Italien",Italien,,"Consiglio Nazionale delle Ricerche, Italien",
"Det Danske Sprog- og Litteraturselskab, Dänmark",Dänemark,,"Det Danske Sprog- og Litteraturselskab, Dänmark",
"Deutsches Archäologisches Institut, Deutschland",Deutschland,,"Deutsches Archäologisches Institut, Deutschland",
"DFKI GmbH, Deutschland",Deutschland,,"DFKI GmbH, Deutschland",
"Donau-Universität Krems, Österreich",Österreich,Krems,"Donau-Universität Krems, Österreich",
"Eberhard Karls Universität Tübingen, Deutschland",Deutschland,Tübingen,"Eberhard Karls Universität Tübingen, Deutschland",
Humboldt Universität zu Berlin,Deutschland,Berlin,Humboldt-Universität zu Berlin,
Eberhard Karls Universität Tübingen,Deutschland,Tübingen,Eberhard Karls Universität Tübingen,
"Eesti Keele Instituut, Estland",Estland,,"Eesti Keele Instituut, Estland",
Fachhochschule St. Pölten,Österreich,St.Pölten,Fachhochschule St. Pölten,
"FAU Erlangen-Nürnberg, Deutschland, Germanistik, und TU Darmstadt, Computerphilologie und Mediävistik",Deutschland,Darmstadt,"FAU Erlangen-Nürnberg, Deutschland, Germanistik, und TU Darmstadt, Computerphilologie und Mediävistik",
FernUniversität in Hagen,Deutschland,Hagen,FernUniversität in Hagen,
Deutsches Literaturarchiv Marbach,Deutschland,Marbach,Deutsches Literaturarchiv Marbach,
Klassik Stiftung Weimar,Deutschland,Weimar,Klassik Stiftung Weimar,
Fraunhofer IAIS,Deutschland,,Fraunhofer IAIS,
"Freie Universität Berlin, Deutschland, Institut für Philosophie",Deutschland,Berlin,Freie Universität Berlin,Institut für Philosophie
"Friedrich-Alexander Universität Erlangen-Nürnberg, Deutschland",Deutschland,,"Friedrich-Alexander Universität Erlangen-Nürnberg, Deutschland",
"FSU Jena, Deutschland",Deutschland,Jena,"FSU Jena, Deutschland",
"Georg-August-Universität Göttingen, Deutschland - GCDH/Archäologisches Institut",Deutschland,Göttingen,Georg-August Universität Göttingen,
Georg-August-Universität Göttingen,Deutschland,Göttingen,Georg-August Universität Göttingen,
Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung (GEI),Deutschland,,Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung (GEI),
German Historical Institute Washington,USA,,German Historical Institute Washington,
"Germanisches Nationalmuseum, Deutschland",Deutschland,,"Germanisches Nationalmuseum, Deutschland",
"Germanisches Nationalmuseum, Nürnberg",Deutschland,Nürnberg,"Germanisches Nationalmuseum, Nürnberg",
"Goethe Universität Frankfurt, Germany",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
Goethe-Universität Frankfurt,Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
"Göttingen Centre for Digital Humanities, Georg-August Universität Göttingen, Deutschland",Deutschland,Göttingen,Georg-August Universität Göttingen,Göttingen Centre for Digital Humanities
"Graduiertenkolleg „Modell Romantik“, Friedrich-Schiller-Universität Jena, Jena, Deutschland",Deutschland,Jena,"Graduiertenkolleg „Modell Romantik“, Friedrich-Schiller-Universität Jena, Jena, Deutschland",
"Jena University Language & Information Engineering Lab (JULIE Lab), Friedrich-Schiller-Universität Jena, Jena, Deutschland",Deutschland,Jena,"Jena University Language & Information Engineering Lab (JULIE Lab), Friedrich-Schiller-Universität Jena, Jena, Deutschland",
"Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",Deutschland,,"Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",
"Historisches Datenzentrum Sachsen-Anhalt, Martin-Luther-Universität Halle-Wittenberg, Deutschland",Deutschland,Halle,"Historisches Datenzentrum Sachsen-Anhalt, Martin-Luther-Universität Halle-Wittenberg, Deutschland",
"Hochschule für angewandte Wissenschaften, Hamburg",Deutschland,Hamburg,"Hochschule für angewandte Wissenschaften, Hamburg",
"HU Berlin, Deutschland",Deutschland,Berlin,Humboldt-Universität zu Berlin,
Humboldt Universität zu Berlin,Deutschland,Berlin,Humboldt-Universität zu Berlin,
"Humboldt-Universität, Berlin",Deutschland,Berlin,Humboldt-Universität zu Berlin,
"ICARUS, Wien, Österreich",Österreich,Wien,ICARUS,
IDS Mannheim,Deutschland,Mannheim,IDS Mannheim,
Universität Mannheim,Deutschland,Mannheim,Universität Mannheim,
"Institut für Deutsche Philologie, Julius-Maximilians-Universität Würzburg",Deutschland,Würzburg,"Institut für Deutsche Philologie, Julius-Maximilians-Universität Würzburg",
"Institut für die Geschichte der deutschen Juden (IGdJ), Deutschland",Deutschland,,"Institut für die Geschichte der deutschen Juden (IGdJ), Deutschland",
Institut für Dokumentologie und Editorik e.V.,,,Institut für Dokumentologie und Editorik e.V.,
Berlin-Brandenburgische Akademie der Wissenschaften,Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
Universität zu Köln/CCeH,Deutschland,Köln,Universität zu Köln,Cologne Center for eHumanities
"Institut für Europäische Geschichte, Deutschland",Deutschland,,"Institut für Europäische Geschichte, Deutschland",
"Institut für Germanistik, AAU Klagenfurt",Österreich,Klagenfurt,"Institut für Germanistik, AAU Klagenfurt",
"Institut für Literaturwissenschaft, Universität Stuttgart, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,Institut für Literaturwissenschaft
"Institut für Literaturwissenschaft, Universität Stuttgart",Deutschland,Stuttgart,Universität Stuttgart,Institut für Literaturwissenschaft
"Institut für Literaturwissenschaft, Universtität Stuttgart, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,Institut für Literaturwissenschaft
"Institut für Maschinelle Sprachverarbeitung, Universität Stuttgart, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,Institut für Maschinelle Sprachverarbeitung
"Institut für Maschinelle Sprachverarbeitung, Universität Stuttgart",Deutschland,Stuttgart,Universität Stuttgart,Institut für Maschinelle Sprachverarbeitung
"Institut Josef Sefan, Slowenien",Slowenien,,"Institut Josef Sefan, Slowenien",
"Institute for Bulgarian Language, Bulgarien",Bulgarien,,"Institute for Bulgarian Language, Bulgarien",
"Instituut voor Nederlandse Lexicologie, Niederlande",Niederlande,,"Instituut voor Nederlandse Lexicologie, Niederlande",
"Akademie der Wissenschaften und der Literatur Mainz, Deutschland",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"Technische Universität Darmstadt, Deutschland",Deutschland,Darmstadt,"Technische Universität Darmstadt, Deutschland",
"Akademie der Wissenschaften und der Literatur Mainz, Deutschland",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"K Dictionaries Ltd., Israel",Israel,,"K Dictionaries Ltd., Israel",
Open Knowledge Forum Österreich,Österreich,,Open Knowledge Forum Österreich,
"Kobenhavns Universitet, Dänemark",Dänemark,Kopenhagen,"Kobenhavns Universitet, Dänemark",
"Lehrstuhl für Digital Humanities, Universität Passau, Deutschland",Deutschland,Passau,"Lehrstuhl für Digital Humanities, Universität Passau, Deutschland",
"Lehrstuhl für Informatik mit Schwerpunkt Digital Libraries and Web Information Systems, Universität Passau, Deutschland",Deutschland,Passau,"Lehrstuhl für Informatik mit Schwerpunkt Digital Libraries and Web Information Systems, Universität Passau, Deutschland",
"Lehrstuhl für Slavische Literaturen und Kulturen, Universität Passau, Deutschland",Deutschland,Passau,"Lehrstuhl für Slavische Literaturen und Kulturen, Universität Passau, Deutschland",
Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),Deutschland,,Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),
"Leiterin des Rats für Informationsinfrastrukturen (RfII), Geschäftsstelle Göttingen",Deutschland,Göttingen,"Leiterin des Rats für Informationsinfrastrukturen (RfII), Geschäftsstelle Göttingen",
"Lexical Computing CZ s.r.o.,Tschechien",Tschechien,,"Lexical Computing CZ s.r.o.,Tschechien",
"L'Université Paris Descartes, Frankreich",Frankreich,Paris,"L'Université Paris Descartes, Frankreich",
"Magyar Tudományos Akadémia,Ungarn",Ungarn,,"Magyar Tudományos Akadémia,Ungarn",
"Max-Planck-Institut für europäische Rechtsgeschichte, Frankfurt am Main",Deutschland,Frankfurt am Main,Max-Planck-Institut für europäische Rechtsgeschichte,
"Max-Planck-Institut für Informatik, Saarbrücken, Deutschland",Deutschland,Saarbrücken,"Max-Planck-Institut für Informatik, Saarbrücken, Deutschland",
Max-Planck-Institut für Kunstgeschichte Rom,Italien,Rom,Max-Planck-Institut für Kunstgeschichte Rom,
"Medienzentrum/TU Dresden, Deutschland",Deutschland,Dresden,"Medienzentrum/TU Dresden, Deutschland",
Mittelbayerische Zeitung Regensburg,Deutschland,Regensburg,Mittelbayerische Zeitung Regensburg,
"National Research University Higher School of Economics, Moskau, Russland",Russland,Moskau,National Research University Higher School of Economics,
"National Research University Higher School of Economics, Russland",Russland,Moskau,National Research University Higher School of Economics,
"National Universtiy of Ireland, Galway Irland",Irland,Galway,"National Universtiy of Ireland, Galway Irland",
"Neue Universität Lissabon, Portugal",Portugal,Lissabon,"Neue Universität Lissabon, Portugal",
"Niklas Luhmann-Archiv, Fakultät für Soziologie, Universität Bielefeld",Deutschland,Bielefeld,"Niklas Luhmann-Archiv, Fakultät für Soziologie, Universität Bielefeld",
"OEAW Österreichische Akademie der Wissenschaften, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,
Otto-Friedrich-Universität Bamberg,Deutschland,Bamberg,Otto-Friedrich-Universität Bamberg,
Real Academia Española; Spanien,Spanien,,Real Academia Española; Spanien,
